ID,Direction,Latitude,Longitude,Station,Material,Li7,Cr52,Co59,Ni60,Cu65,Zn66,Cd111,Pb208,Fe 238.204,Fe 259.941,Fe,Al 167.078,MPI
BL-S 2-4 EA,South,-5.053194444,119.3280556,E,Enhalus acoroides,0.049,0.639,0.24,1.593,2.509,52.497,0.123,0.312,134,131,199.5,48.8,1.89242271820189
BL-S 2-5 EA,South,-5.053194444,119.3280556,E,Enhalus acoroides,0.159,0.82,0.144,1.199,2.121,29.186,0.417,2.594,113,117,171.5,45.22,2.55141356836286
BL-S 2-6 EA,South,-5.053194444,119.3280556,E,Enhalus acoroides,0.071,0.541,0.25,1.733,2.871,31.432,0.13,0.229,116,112,172,31.62,1.73215540793002
BL-S 2-1 TH,South,-5.053194444,119.3280556,E,Thalassia hemprichii,0.079,0.473,0.25,2.503,2.386,44.462,0.121,0.331,99,98,148,22,1.78231568242604
BL-S 2-2 TH,South,-5.053194444,119.3280556,E,Thalassia hemprichii,0.133,0.482,0.177,2.004,1.818,22.058,0.098,0.323,95,96,143,29.38,1.61575165745135
BL-S 2-3 TH,South,-5.053194444,119.3280556,E,Thalassia hemprichii,0.01,0.485,0.233,2.548,2.526,34.982,0.117,0.391,118,123,179.5,30.57,1.51540863495148
BL-S 2-4 TH,South,-5.053194444,119.3280556,E,Thalassia hemprichii,0.069,0.51,0.229,2.133,2.36,33.816,0.139,0.271,107,104,159,19,1.65707233156789
BL-S 2-5 TH,South,-5.053194444,119.3280556,E,Thalassia hemprichii,0.018,0.404,0.258,2.535,2.935,27.801,0.109,0.389,121,122,182,30.25,1.56931199016318
BL-S 2-6 TH,South,-5.053194444,119.3280556,E,Thalassia hemprichii,0.05,0.486,0.245,2.435,2.097,27.123,0.087,0.437,132,135,199.5,43.09,1.75005926513745
BL-S 3-1 EA,South,-5.054305556,119.3279167,F1,Enhalus acoroides,0.127,0.662,0.239,1.653,2.213,41.382,0.16,0.238,81,80,121,28,1.81709054946009
BL-S 3-2 EA,South,-5.054305556,119.3279167,F1,Enhalus acoroides,0.094,0.719,0.222,1.958,2.307,43.436,0.17,0.518,103,107,156.5,38.32,2.08527739235839
BL-S 3-3 EA,South,-5.054305556,119.3279167,F1,Enhalus acoroides,0.129,0.563,0.204,3.547,2.784,47.728,0.171,0.456,134,136,202,73,2.45734826675136
BL-S 3-4 EA,South,-5.054305556,119.3279167,F1,Enhalus acoroides,0.08,0.756,0.211,1.97,1.969,29.148,0.41,0.569,98,96,146,43,2.15027119691758
BL-S 3-5 EA,South,-5.054305556,119.3279167,F1,Enhalus acoroides,0.1,0.447,0.18,1.588,2.893,38.72,0.149,0.24,112,110,167,43,1.80521808016125
BL-S 3-6 EA,South,-5.054305556,119.3279167,F1,Enhalus acoroides,0.129,0.558,0.181,1.517,1.962,30.987,0.129,0.481,122,126,185,73,1.99663921915825
BL-S 3-1 TH,South,-5.054305556,119.3279167,F1,Thalassia hemprichii,0.024,0.287,0.307,2.511,1.718,44.283,0.153,0.421,102,105,154.5,21.37,1.56100572328513
BL-S 3-2 TH,South,-5.054305556,119.3279167,F1,Thalassia hemprichii,0.005,0.405,0.215,2.376,1.902,24.646,0.169,0.306,112,114,169,33.67,1.30448918612102
BL-S 3-3 TH,South,-5.054305556,119.3279167,F1,Thalassia hemprichii,0.008,0.443,0.235,2.9,1.735,22.147,0.179,0.296,93,96,141,28.99,1.34995285848028
