ID,Direction,Latitude,Longitude,Station,Material,Ca 422.673,Fe 238.204,Fe 259.941,K 766.491,Mg 285.213,Na 589.592,P 177.495,Al 167.078,Sr 407.771,Sr 421.552,S 182.034
BL-S 2-4 EA,South,-5.053194444,119.3280556,E,Enhalus acoroides,21085,134,131,2121,10146,8143,22232,48.8,NA,NA,NA
BL-S 2-5 EA,South,-5.053194444,119.3280556,E,Enhalus acoroides,20594,113,117,2397,9831,10679,NA,45.22,NA,NA,NA
BL-S 2-6 EA,South,-5.053194444,119.3280556,E,Enhalus acoroides,17870,116,112,2779,9634,10357,20740,31.62,NA,NA,NA
BL-S 2-1 TH,South,-5.053194444,119.3280556,E,Thalassia hemprichii,21890,99,98,2166,10537,12694,NA,22,NA,NA,NA
BL-S 2-2 TH,South,-5.053194444,119.3280556,E,Thalassia hemprichii,19932,95,96,2966,9877,13662,NA,29.38,NA,NA,NA
BL-S 2-3 TH,South,-5.053194444,119.3280556,E,Thalassia hemprichii,23713,118,123,1870,9787,8033,17468,30.57,NA,NA,NA
BL-S 2-4 TH,South,-5.053194444,119.3280556,E,Thalassia hemprichii,19884,107,104,2598,10207,13861,NA,19,NA,NA,NA
BL-S 2-5 TH,South,-5.053194444,119.3280556,E,Thalassia hemprichii,20272,121,122,2535,9644,10208,18098,30.25,NA,NA,NA
BL-S 2-6 TH,South,-5.053194444,119.3280556,E,Thalassia hemprichii,19685,132,135,3077,9558,13688,15754,43.09,NA,NA,NA
BL-S 3-1 EA,South,-5.054305556,119.3279167,F1,Enhalus acoroides,19034,81,80,1620,10062,10494,NA,28,NA,NA,NA
BL-S 3-2 EA,South,-5.054305556,119.3279167,F1,Enhalus acoroides,24177,103,107,2115,10349,6917,NA,38.32,NA,NA,NA
BL-S 3-3 EA,South,-5.054305556,119.3279167,F1,Enhalus acoroides,23095,134,136,2148,9962,8031,21539,73,NA,NA,NA
BL-S 3-4 EA,South,-5.054305556,119.3279167,F1,Enhalus acoroides,21657,98,96,1718,9380,7551,NA,43,NA,NA,NA
BL-S 3-5 EA,South,-5.054305556,119.3279167,F1,Enhalus acoroides,21514,112,110,1793,10219,7623,19662,43,NA,NA,NA
BL-S 3-6 EA,South,-5.054305556,119.3279167,F1,Enhalus acoroides,26438,122,126,1978,10791,8853,16657,73,NA,NA,NA
BL-S 3-1 TH,South,-5.054305556,119.3279167,F1,Thalassia hemprichii,19479,102,105,2274,10594,10459,19031,21.37,NA,NA,NA
BL-S 3-2 TH,South,-5.054305556,119.3279167,F1,Thalassia hemprichii,21150,112,114,2352,10838,10254,16413,33.67,NA,NA,NA
BL-S 3-3 TH,South,-5.054305556,119.3279167,F1,Thalassia hemprichii,23211,93,96,2396,10281,9633,17616,28.99,NA,NA,NA
BL-S 3-4 TH,South,-5.054305556,119.3279167,F1,Thalassia hemprichii,20123,86,90,3305,9833,12379,NA,27.12,NA,NA,NA
BL-S 3-5 TH,South,-5.054305556,119.3279167,F1,Thalassia hemprichii,24277,109,108,2449,9749,10849,15439,43,NA,NA,NA
BL-S 3-6 TH,South,-5.054305556,119.3279167,F1,Thalassia hemprichii,20444,84,87,3202,10026,13543,17697,17,NA,NA,NA
BL-S 3-1,South,-5.054166667,119.3280556,F2,Sediment,374902,370,369,NA,11440,7375,NA,NA,5616,5522,2187
BL-S 3-2,South,-5.054166667,119.3280556,F2,Sediment,370808,366,378,NA,9703,7363,NA,NA,5910,5869,2262
BL-W A-1,West,-5.047291667,119.3275,A,Sediment,365375,6067,6047,NA,10431,5997,NA,NA,5261,5243,2884
BL-W A-2,West,-5.047291667,119.3275,A,Sediment,353604,18672,18962,NA,10790,5523,NA,NA,5190,5138,3305
BL-W B-1,West,-5.047222222,119.3273611,B,Sediment,364210,1296,1285,NA,11272,7280,NA,NA,5870,5703,2734
BL-W B-3,West,-5.047222222,119.3273611,B,Sediment,362368,2118,2136,NA,9659,6815,NA,NA,5877,5802,3146
BL-W 1-3,West,-5.047083333,119.3269444,D,Sediment,372974,481,472,NA,9920,6541,NA,NA,6093,6048,2204
BL-W 2-2,West,-5.046805556,119.3259722,E,Sediment,365676,380,391,NA,11206,6387,NA,NA,5537,5544,2063
BL-W 3-1,West,-5.04625,119.3244444,F,Sediment,375508.5,465.5,475,NA,14398,7564.5,NA,NA,5381,5272,2403.5
BL-W 3-2,West,-5.04625,119.3244444,F,Sediment,381838.5,523.5,532,NA,14562,7815.5,NA,NA,5701.5,5568,2467
BL-W 3-3,West,-5.04625,119.3244444,F,Sediment,384868.5,531.5,539.5,NA,14911,6808.5,NA,NA,5293,5166.5,2311
