ID,Direction,Latitude,Longitude,Station,Material,Li7,Cr52,Co59,Ni60,Cu65,Zn66,Cd111,Pb208
BL-S 2-5 TH,South,-5.053194444,119.3280556,E,Thalassia hemprichii,0.018,0.404,0.258,2.535,2.935,27.801,0.109,0.389
BL-S 2-6 TH,South,-5.053194444,119.3280556,E,Thalassia hemprichii,0.05,0.486,0.245,2.435,2.097,27.123,0.087,0.437
BL-S 3-1 EA,South,-5.054305556,119.3279167,F1,Enhalus acoroides,0.127,0.662,0.239,1.653,2.213,41.382,0.16,0.238
BL-S 3-2 EA,South,-5.054305556,119.3279167,F1,Enhalus acoroides,0.094,0.719,0.222,1.958,2.307,43.436,0.17,0.518
BL-S 3-3 EA,South,-5.054305556,119.3279167,F1,Enhalus acoroides,0.129,0.563,0.204,3.547,2.784,47.728,0.171,0.456
BL-S 3-4 EA,South,-5.054305556,119.3279167,F1,Enhalus acoroides,0.08,0.756,0.211,1.97,1.969,29.148,0.41,0.569
BL-S 3-5 EA,South,-5.054305556,119.3279167,F1,Enhalus acoroides,0.1,0.447,0.18,1.588,2.893,38.72,0.149,0.24
BL-S 3-6 EA,South,-5.054305556,119.3279167,F1,Enhalus acoroides,0.129,0.558,0.181,1.517,1.962,30.987,0.129,0.481
BL-S 3-1 TH,South,-5.054305556,119.3279167,F1,Thalassia hemprichii,0.024,0.287,0.307,2.511,1.718,44.283,0.153,0.421
BL-S 3-2 TH,South,-5.054305556,119.3279167,F1,Thalassia hemprichii,0.005,0.405,0.215,2.376,1.902,24.646,0.169,0.306
BL-S 3-3 TH,South,-5.054305556,119.3279167,F1,Thalassia hemprichii,0.008,0.443,0.235,2.9,1.735,22.147,0.179,0.296
BL-S 3-4 TH,South,-5.054305556,119.3279167,F1,Thalassia hemprichii,0.096,0.486,0.19,2.445,1.726,23.48,0.146,0.248
BL-S 3-5 TH,South,-5.054305556,119.3279167,F1,Thalassia hemprichii,0.092,0.436,0.25,2.711,1.672,21.123,0.168,0.272
BL-S 3-6 TH,South,-5.054305556,119.3279167,F1,Thalassia hemprichii,0.093,0.288,0.214,2.357,2.048,21.92,0.168,0.188
BL-S 3-1,South,-5.054166667,119.3280556,F2,Sediment,1.922,4.549,0.331,9.694,0.119,1.05,0.127,0.453
BL-S 3-2,South,-5.054166667,119.3280556,F2,Sediment,1.944,4.038,0.309,9.066,0.119,1.42,0.095,0.502
BL-W A-1,West,-5.047291667,119.3275,A,Sediment,1.904,7.112,0.998,11.373,14.292,173.989,0.127,14.571
BL-W A-2,West,-5.047291667,119.3275,A,Sediment,1.994,15.795,2.603,18.139,60.274,112.285,0.177,13.853
BL-W B-1,West,-5.047222222,119.3273611,B,Sediment,2.451,8.543,0.474,9.673,14.651,34.165,0.14,6.6
BL-W B-3,West,-5.047222222,119.3273611,B,Sediment,2.589,7.899,0.548,10.133,24.633,73.858,0.161,9.899
BL-W 1-3,West,-5.047083333,119.3269444,D,Sediment,2.165,6.016,0.336,9.404,1.155,2.517,0.086,0.959
BL-W 2-2,West,-5.046805556,119.3259722,E,Sediment,2.23,5.963,0.326,9.502,0.061,1.173,0.078,0.515
BL-W 3-1,West,-5.04625,119.3244444,F,Sediment,2.43,6.099,0.323,9.415,0.134,1.487,0.095,0.611
BL-W 3-2,West,-5.04625,119.3244444,F,Sediment,1.872,5.004,0.282,7.031,0.746,1.032,0.116,0.737
BL-W 3-3,West,-5.04625,119.3244444,F,Sediment,1.947,5.118,0.303,7.373,0.817,1.219,0.108,0.74
